Iteration,Total nfev,Cost,Cost Reduction,Step norm,Optimality
0,1,5.60E+06,2.99E+06,,
1,6,2.02E+06,3.58E+06,1.41E+00,6.66E+05
2,9,1.92E+06,1.01E+05,1.76E-01,4.55E+05
3,10,1.84E+06,7.62E+04,1.76E-01,4.43E+05
4,11,1.73E+06,1.04E+05,3.52E-01,8.20E+05
5,12,1.69E+06,4.67E+04,3.52E-01,6.68E+05
6,13,1.63E+06,5.92E+04,8.80E-02,4.05E+05
7,14,1.56E+06,6.72E+04,1.76E-01,3.47E+05
8,15,1.50E+06,5.97E+04,1.76E-01,3.42E+05
9,16,1.39E+06,1.07E+05,3.52E-01,2.94E+05
10,17,1.34E+06,5.43E+04,7.04E-01,5.57E+05
11,18,1.23E+06,1.06E+05,1.76E-01,3.94E+05
12,19,1.16E+06,7.72E+04,3.52E-01,3.41E+05
13,20,1.11E+06,4.19E+04,3.52E-01,2.95E+05
14,21,1.04E+06,7.15E+04,3.52E-01,2.80E+05
15,22,9.97E+05,4.68E+04,3.52E-01,2.45E+05
16,23,9.28E+05,6.89E+04,3.52E-01,1.90E+05
17,24,8.73E+05,5.46E+04,3.52E-01,2.14E+05
18,25,8.08E+05,6.56E+04,3.52E-01,1.75E+05
19,26,6.89E+05,1.19E+05,7.04E-01,1.87E+05
20,27,4.96E+05,1.93E+05,1.41E+00,1.67E+05
21,29,3.76E+05,1.19E+05,7.04E-01,1.30E+05
22,30,1.57E+05,2.19E+05,1.41E+00,9.16E+04
23,32,8.29E+04,7.43E+04,7.04E-01,6.07E+04
24,33,3.42E+04,4.87E+04,1.41E+00,1.24E+05
25,34,3.25E+03,3.10E+04,1.41E+00,2.34E+04
26,38,2.71E+03,5.42E+02,4.40E-02,2.41E+03
27,40,2.68E+03,2.46E+01,1.10E-02,1.73E+03
28,41,2.66E+03,2.43E+01,1.10E-02,1.69E+03
29,42,2.61E+03,4.51E+01,2.20E-02,1.62E+03
30,44,2.59E+03,2.12E+01,1.10E-02,1.59E+03
31,45,2.56E+03,3.50E+01,2.20E-02,2.44E+03
32,46,2.54E+03,1.46E+01,2.20E-02,4.12E+03
33,47,2.52E+03,2.02E+01,5.50E-03,2.15E+03
34,48,2.50E+03,1.91E+01,1.10E-02,1.46E+03
35,49,2.48E+03,1.89E+01,1.10E-02,1.43E+03
36,50,2.46E+03,2.71E+01,2.20E-02,2.84E+03
37,51,2.45E+03,8.48E+00,2.20E-02,4.32E+03
38,52,2.43E+03,2.06E+01,5.50E-03,2.30E+03
39,53,2.41E+03,1.71E+01,1.10E-02,1.32E+03
40,54,2.39E+03,1.60E+01,1.10E-02,1.29E+03
41,55,2.38E+03,1.53E+01,1.10E-02,1.27E+03
42,56,2.36E+03,1.47E+01,1.10E-02,1.27E+03
43,57,2.35E+03,1.41E+01,1.10E-02,1.31E+03
44,58,2.34E+03,1.36E+01,1.10E-02,1.35E+03
45,59,2.32E+03,1.30E+01,1.10E-02,1.39E+03
46,60,2.31E+03,1.27E+01,1.10E-02,1.42E+03
47,61,2.30E+03,1.21E+01,1.10E-02,1.45E+03
48,62,2.29E+03,1.18E+01,1.10E-02,1.48E+03
49,63,2.27E+03,1.13E+01,1.10E-02,1.50E+03
50,64,2.26E+03,1.11E+01,1.10E-02,1.53E+03
51,65,2.25E+03,1.06E+01,1.10E-02,1.55E+03
52,66,2.24E+03,1.04E+01,1.10E-02,1.57E+03
53,67,2.23E+03,9.95E+00,1.10E-02,1.59E+03
54,68,2.22E+03,9.77E+00,1.10E-02,1.61E+03
55,69,2.21E+03,9.35E+00,1.10E-02,1.62E+03
56,70,2.20E+03,9.20E+00,1.10E-02,1.64E+03
57,71,2.20E+03,8.80E+00,1.10E-02,1.66E+03
58,72,2.19E+03,8.68E+00,1.10E-02,1.67E+03
59,73,2.18E+03,8.30E+00,1.10E-02,1.69E+03
60,74,2.17E+03,8.20E+00,1.10E-02,1.70E+03
61,75,2.16E+03,7.83E+00,1.10E-02,1.71E+03
62,76,2.15E+03,7.76E+00,1.10E-02,1.72E+03
63,77,2.15E+03,7.41E+00,1.10E-02,1.74E+03
64,78,2.14E+03,7.36E+00,1.10E-02,1.75E+03
65,79,2.13E+03,7.01E+00,1.10E-02,1.76E+03
66,80,2.13E+03,6.98E+00,1.10E-02,1.77E+03
67,81,2.12E+03,6.64E+00,1.10E-02,1.78E+03
68,82,2.11E+03,6.63E+00,1.10E-02,1.79E+03
69,83,2.11E+03,6.30E+00,1.10E-02,1.79E+03
70,84,2.10E+03,6.31E+00,1.10E-02,1.80E+03
71,85,2.09E+03,5.99E+00,1.10E-02,1.81E+03
72,86,2.09E+03,6.01E+00,1.10E-02,1.82E+03
73,87,2.08E+03,5.69E+00,1.10E-02,1.83E+03
74,88,2.08E+03,4.71E+00,2.75E-03,9.22E+02
75,89,2.07E+03,5.10E+00,5.50E-03,7.79E+02
76,90,2.07E+03,5.21E+00,5.50E-03,7.70E+02
77,91,2.06E+03,8.73E+00,1.10E-02,1.18E+03
78,92,2.06E+03,3.38E+00,1.10E-02,2.03E+03
79,93,2.05E+03,5.06E+00,2.75E-03,1.10E+03
80,94,2.05E+03,4.87E+00,5.50E-03,7.34E+02
81,95,2.04E+03,4.81E+00,5.50E-03,7.26E+02
82,96,2.03E+03,7.32E+00,1.10E-02,1.36E+03
83,97,2.03E+03,2.42E+00,1.10E-02,2.10E+03
84,98,2.03E+03,5.12E+00,2.75E-03,1.15E+03
85,99,2.02E+03,4.60E+00,5.50E-03,6.93E+02
86,100,2.02E+03,4.41E+00,5.50E-03,6.85E+02
87,101,2.01E+03,5.78E+00,1.10E-02,1.57E+03
88,102,2.01E+03,2.20E+00,1.10E-02,2.09E+03
89,103,2.00E+03,5.03E+00,2.75E-03,1.13E+03
90,104,2.00E+03,4.26E+00,5.50E-03,6.56E+02
91,105,2.00E+03,4.00E+00,5.50E-03,6.49E+02
92,106,1.99E+03,3.89E+00,5.50E-03,6.43E+02
93,107,1.99E+03,3.78E+00,5.50E-03,6.36E+02
94,108,1.98E+03,3.70E+00,5.50E-03,6.31E+02
95,109,1.98E+03,3.62E+00,5.50E-03,6.43E+02
96,110,1.98E+03,3.55E+00,5.50E-03,6.55E+02
97,111,1.97E+03,3.47E+00,5.50E-03,6.65E+02
98,112,1.97E+03,3.42E+00,5.50E-03,6.75E+02
99,113,1.97E+03,3.34E+00,5.50E-03,6.84E+02
100,114,1.96E+03,3.29E+00,5.50E-03,6.94E+02
101,115,1.96E+03,3.21E+00,5.50E-03,7.02E+02
102,116,1.96E+03,3.16E+00,5.50E-03,7.11E+02
103,117,1.95E+03,3.09E+00,5.50E-03,7.18E+02
104,118,1.95E+03,3.05E+00,5.50E-03,7.26E+02
105,119,1.95E+03,2.98E+00,5.50E-03,7.34E+02
106,120,1.94E+03,2.94E+00,5.50E-03,7.41E+02
107,121,1.94E+03,2.87E+00,5.50E-03,7.47E+02
108,122,1.94E+03,2.83E+00,5.50E-03,7.54E+02
109,123,1.94E+03,2.77E+00,5.50E-03,7.60E+02
110,124,1.93E+03,2.74E+00,5.50E-03,7.67E+02
111,125,1.93E+03,2.68E+00,5.50E-03,7.72E+02
112,126,1.93E+03,2.64E+00,5.50E-03,7.78E+02
113,127,1.93E+03,2.58E+00,5.50E-03,7.84E+02
114,128,1.92E+03,2.55E+00,5.50E-03,7.89E+02
115,129,1.92E+03,2.50E+00,5.50E-03,7.94E+02
116,130,1.92E+03,2.47E+00,5.50E-03,8.00E+02
117,131,1.92E+03,2.41E+00,5.50E-03,8.04E+02
118,132,1.91E+03,2.39E+00,5.50E-03,8.09E+02
119,133,1.91E+03,2.34E+00,5.50E-03,8.14E+02
120,134,1.91E+03,2.31E+00,5.50E-03,8.18E+02
121,135,1.91E+03,2.26E+00,5.50E-03,8.22E+02
122,136,1.90E+03,2.24E+00,5.50E-03,8.27E+02
123,137,1.90E+03,2.19E+00,5.50E-03,8.31E+02
124,138,1.90E+03,2.17E+00,5.50E-03,8.35E+02
125,139,1.90E+03,2.12E+00,5.50E-03,8.39E+02
126,140,1.90E+03,2.10E+00,5.50E-03,8.42E+02
127,141,1.89E+03,2.05E+00,5.50E-03,8.46E+02
128,142,1.89E+03,2.04E+00,5.50E-03,8.50E+02
